id	logFC	AveExpr	t	P.Value	adj.P.Val	B
nedd8l	0.325733333333343	23.6826	0.734708341727551	0.467740174225018	0.850751074745688	-6.57488263001751
bdh2	-0.241466666666675	23.4933333333333	-0.732824802216258	0.468872838088494	0.852286094850515	-6.57626811435193
scinlb	-0.138600000000011	31.3961666666667	-0.73153520317263	0.469649251604976	0.853172055838702	-6.57721472674784
plekhf2	-0.287600000000005	21.4979333333333	-0.730130468735914	0.470495828796286	0.854184309106173	-6.57824401704624
nos2a	-0.263666666666669	21.6835	-0.729189331225758	0.471063507528729	0.854387015975432	-6.5789325452658
uap1l1	-0.264866666666659	21.6341	-0.728985784827077	0.471186335368565	0.854387015975432	-6.57908134504964
usp9	-0.321333333333335	23.4975333333333	-0.727688465951494	0.471969622428643	0.855281967715994	-6.58002878738581
pspc1	-0.274066666666663	21.5129666666667	-0.726255633488278	0.472835600916604	0.856140953863402	-6.5810732981414
tbk1	-0.286666666666669	21.6595333333333	-0.725944645347782	0.473023677422496	0.856140953863402	-6.58129974007089
rab11a	-0.274266666666669	21.3206	-0.723085954904659	0.474754546056412	0.857533519812919	-6.58337685952872
hspg2	0.331800000000008	25.4831	0.722276405889875	0.475245368950099	0.857533519812919	-6.58396363465912
actr2a	0.295199999999994	25.865	0.722058913473984	0.47537728244071	0.857533519812919	-6.58412116845699
pip4k2aa	0.313600000000001	21.4945333333333	0.721781057337204	0.475545838306145	0.857533519812919	-6.5843223579814
cdc42l	-0.240666666666669	27.8030666666667	-0.721651146821782	0.475624657686408	0.857533519812919	-6.58441639760627
16-Sep	-0.377999999999997	22.5286666666667	-0.721324347458019	0.475822966723174	0.857533519812919	-6.58465288864836
prep	0.26133333333334	21.5073333333333	0.721318482342127	0.475826526237656	0.857533519812919	-6.58465713204006
apoa4b.3	0.397200000000002	22.978	0.720078829657123	0.476579209043841	0.858193572299908	-6.58555326669402
eef2b	0.148000000000007	30.6285333333333	0.719633168564866	0.476849968793219	0.858193572299908	-6.58587506658671
gm2a	0.224200000000003	24.2143	0.719279464980073	0.477064922813059	0.858193572299908	-6.58613032909014
stau2	-0.226866666666659	21.9525666666667	-0.71853830024723	0.477515526058093	0.858481018832821	-6.58666482219979
rpl22l1	0.284733333333328	22.6649	0.717724445327317	0.478010603008488	0.858848021960473	-6.58725112118603
capza1b	-0.1554	27.8769666666667	-0.716555144615177	0.478722415268023	0.859446456990537	-6.588092355645
aldh5a1	0.220400000000001	22.2238	0.715926037857294	0.479105634747836	0.859446456990537	-6.58854440650519
ssr1	0.248133333333328	24.0695333333333	0.714841708968633	0.479766563247722	0.859446456990537	-6.58932265872495
ncl	-0.220933333333331	27.5316	-0.71483951179463	0.479767903014207	0.859446456990537	-6.58932423453591
wbp2nl	0.329866666666661	21.8462666666667	0.714787896355944	0.479799377073308	0.859446456990537	-6.58936125172574
cox6c	-0.286266666666666	24.2967333333333	-0.713950250224425	0.480310321575784	0.859839944991944	-6.5899616266774
impdh1b	0.310733333333339	24.6789666666667	0.712655891883082	0.481100459681869	0.860732458776289	-6.59088800423448
mtmr12	0.262600000000003	21.2795	0.711774757078066	0.481638769782434	0.861173621076769	-6.59151770400034
pgpep1	0.371066666666668	22.8232666666667	0.710235505215938	0.482579964325464	0.86145731553145	-6.59261591300437
mapk1	-0.337199999999999	24.7765333333333	-0.709090618349823	0.483280697174973	0.86145731553145	-6.59343126006161
zgc:171226	-0.256933333333322	21.3082	-0.709055134946857	0.483302424172395	0.86145731553145	-6.59345650968597
tes	-0.389533333333336	22.9624333333333	-0.708757792846124	0.483484512815638	0.86145731553145	-6.5936680471238
nid2a	-0.37553333333333	22.2847666666667	-0.708736951140719	0.483497277480447	0.86145731553145	-6.59368287126655
hp1bp3	0.141066666666671	28.7542	0.707819997475352	0.484059062282242	0.86145731553145	-6.59433465733207
med14	0.242533333333338	21.4613333333333	0.706660916607085	0.484769719503977	0.86145731553145	-6.59515738074339
ppwd1	0.283466666666666	21.3152	0.70575325139597	0.485326641113848	0.86145731553145	-6.59580073481789
pdcd10a	-0.281666666666659	21.8059	-0.705621582273832	0.485407460221726	0.86145731553145	-6.59589399543685
matn4	0.426666666666666	22.9458	0.705020955346688	0.48577622445102	0.86145731553145	-6.59631920260223
c1qbp	0.396866666666668	24.3332333333333	0.703872383229499	0.486481849575528	0.86145731553145	-6.59713134363191
ak4	0.4102	24.8873666666667	0.703687718813913	0.486595352206645	0.86145731553145	-6.59726179769881
spint1a	-0.334000000000003	23.2827333333333	-0.703344401543762	0.486806409449285	0.86145731553145	-6.59750424202416
vps18	-0.23546666666666	21.4414666666667	-0.702838087224178	0.48711776495157	0.86145731553145	-6.59786158244267
dtymk	-0.289999999999996	21.2538666666667	-0.702539687791676	0.487301316909022	0.86145731553145	-6.59807206629564
myo6a	-0.202066666666664	22.1042333333333	-0.701804218552301	0.487753886775936	0.86145731553145	-6.59859047857603
eif3m	-0.503066666666673	23.266	-0.700906687873443	0.488306502276801	0.86145731553145	-6.5992224099131
si:dkeyp-69e1.8	-0.329666666666661	22.7653666666667	-0.700420268801827	0.488606141213749	0.86145731553145	-6.59956455892714
ttc38	-0.214666666666663	21.612	-0.700169189771672	0.488760848936258	0.86145731553145	-6.5997410786904
itgb2	0.234200000000001	21.5139666666667	0.700125886060828	0.48878753423763	0.86145731553145	-6.59977151692339
hdac10	0.23746666666667	23.1059333333333	0.700067138128074	0.488823738136194	0.86145731553145	-6.59981280799966
eif5a	-0.245133333333339	26.3116333333333	-0.699167324433623	0.489378444629864	0.86145731553145	-6.60044482338042
fnbp1l	-0.287133333333326	21.5791	-0.698836971107092	0.489582185902855	0.86145731553145	-6.60067666056953
ywhaz	-0.149599999999992	31.9659333333333	-0.698112846703143	0.490028947636204	0.86145731553145	-6.60118446867126
sf3b3	-0.206466666666671	23.8694333333333	-0.697908843528709	0.490154852528074	0.86145731553145	-6.60132743813326
zgc:112962	-0.295066666666667	21.4104	-0.697734070340828	0.490262731990997	0.86145731553145	-6.60144989039286
pcmtl	-0.245466666666669	21.4278	-0.697469731713358	0.490425921468691	0.86145731553145	-6.6016350388112
efhd2	0.27493333333334	25.9462666666667	0.697228033428857	0.490575160669424	0.86145731553145	-6.60180426986405
tyrp1a	-0.334933333333336	21.6037333333333	-0.697160442683599	0.490616899870771	0.86145731553145	-6.6018515850172
spp1	0.341333333333335	21.6944666666667	0.697061196768627	0.490678190656153	0.86145731553145	-6.60192105148626
vapal	-0.304066666666653	21.3361666666667	-0.696792898081172	0.490843904039261	0.86145731553145	-6.60210879719111
psmd7	-0.418733333333325	25.0432333333333	-0.69623297515929	0.491189839052548	0.861552231065431	-6.60250038502705
oxsr1b	0.318333333333321	24.9963666666667	0.695052185596268	0.491919810642299	0.862270321803706	-6.60332518077392
si:ch73-217n20.1	0.336599999999994	21.6317666666667	0.694604512563802	0.492196724098785	0.862270321803706	-6.60363753052341
tulp4b	-0.339400000000001	21.3222333333333	-0.69375672836227	0.492721370682592	0.862270321803706	-6.60422850997262
