gene_name,logFC,P.Value,adj.P.Val
Gldc,-2.2274993,0.00000004043715373647 ,0.00000394301956398541 
Pawr,2.244986639,0.00000004066769102313 ,0.00000394301956398541 
Ptges3l,-3.292384955,0.00000004118740815809 ,0.00000396905974713661 
Lao1,-4.454661248,0.00000004354406760505 ,0.00000417072996624395 
Noxo1,2.391434296,0.00000004417017677320 ,0.00000420521369713049 
Qsox1,-2.33590661,0.00000004621036161475 ,0.00000437310511951831 
Fads2,-1.87587593,0.00000004660166797688 ,0.00000438073406583858 
Clspn,-2.191912593,0.00000004684535922088 ,0.00000438073406583858 
Irx5,1.752334763,0.00000004774588279217 ,0.00000443868195086711 
Gna15,-4.323627251,0.00000004824247478872 ,0.00000445862030152578 
Orm2,-4.852071753,0.00000005015702375875 ,0.00000458323985179685 
Lpar6,-1.908704241,0.00000005038316879413 ,0.00000458323985179685 
Tacc1,-2.498463276,0.00000005046087915798 ,0.00000458323985179685 
Ctgf,6.960332967,0.00000005409286281300 ,0.00000488504916512413 
